Most_Dangerous_Place,CRIMES,PLACE_TYPE,YEAR,STATE_UT
BANKS - Burglary,0,BANKS - Burglary,2001,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2001,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2001,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2001,DELHI
BANKS - Burglary,0,BANKS - Burglary,2001,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2001,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2001,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2001,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2001,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2001,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2001,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2001,WEST BENGAL
BANKS - Burglary,0,BANKS - Burglary,2002,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2002,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2002,ASSAM
BANKS - Burglary,0,BANKS - Burglary,2002,BIHAR
BANKS - Burglary,0,BANKS - Burglary,2002,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2002,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2002,DELHI
BANKS - Burglary,0,BANKS - Burglary,2002,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2002,MEGHALAYA
BANKS - Burglary,0,BANKS - Burglary,2002,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2002,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2002,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2002,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2003,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2003,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2003,ASSAM
BANKS - Burglary,0,BANKS - Burglary,2003,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2003,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2003,DELHI
BANKS - Burglary,0,BANKS - Burglary,2003,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2003,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2003,MEGHALAYA
BANKS - Burglary,0,BANKS - Burglary,2003,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2003,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2003,RAJASTHAN
BANKS - Burglary,0,BANKS - Burglary,2003,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2003,UTTAR PRADESH
BANKS - Burglary,0,BANKS - Burglary,2003,WEST BENGAL
BANKS - Burglary,0,BANKS - Burglary,2004,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2004,ASSAM
BANKS - Burglary,0,BANKS - Burglary,2004,BIHAR
BANKS - Burglary,0,BANKS - Burglary,2004,DELHI
BANKS - Burglary,0,BANKS - Burglary,2004,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2004,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2004,MEGHALAYA
BANKS - Burglary,0,BANKS - Burglary,2004,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2004,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2004,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2004,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2004,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2004,UTTAR PRADESH
BANKS - Burglary,0,BANKS - Burglary,2004,UTTARAKHAND
BANKS - Burglary,0,BANKS - Burglary,2004,WEST BENGAL
BANKS - Burglary,0,BANKS - Burglary,2005,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2005,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2005,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2005,DELHI
BANKS - Burglary,0,BANKS - Burglary,2005,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2005,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2005,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2005,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2005,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2005,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2005,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2005,UTTARAKHAND
BANKS - Burglary,0,BANKS - Burglary,2006,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2006,ASSAM
BANKS - Burglary,0,BANKS - Burglary,2006,CHANDIGARH
BANKS - Burglary,0,BANKS - Burglary,2006,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2006,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2006,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2006,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2006,MEGHALAYA
BANKS - Burglary,0,BANKS - Burglary,2006,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2006,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2006,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2006,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2006,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2006,UTTAR PRADESH
BANKS - Burglary,0,BANKS - Burglary,2006,UTTARAKHAND
BANKS - Burglary,0,BANKS - Burglary,2007,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2007,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2007,ASSAM
BANKS - Burglary,0,BANKS - Burglary,2007,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2007,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2007,DELHI
BANKS - Burglary,0,BANKS - Burglary,2007,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2007,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2007,MEGHALAYA
BANKS - Burglary,0,BANKS - Burglary,2007,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2007,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2007,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2007,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2007,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2007,UTTARAKHAND
BANKS - Burglary,0,BANKS - Burglary,2007,WEST BENGAL
BANKS - Burglary,0,BANKS - Burglary,2008,ANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2008,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2008,ASSAM
BANKS - Burglary,0,BANKS - Burglary,2008,CHANDIGARH
BANKS - Burglary,0,BANKS - Burglary,2008,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2008,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2008,DELHI
BANKS - Burglary,0,BANKS - Burglary,2008,JAMMU & KASHMIR
BANKS - Burglary,0,BANKS - Burglary,2008,JHARKHAND
BANKS - Burglary,0,BANKS - Burglary,2008,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2008,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2008,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2008,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2008,TOTAL (ALL-INDIA)
BANKS - Burglary,0,BANKS - Burglary,2008,TOTAL (UTs)
BANKS - Burglary,0,BANKS - Burglary,2008,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2009,AANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2009,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2009,BIHAR
BANKS - Burglary,0,BANKS - Burglary,2009,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2009,JHARKHAND
BANKS - Burglary,0,BANKS - Burglary,2009,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2009,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2009,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2009,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2009,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2009,TRIPURA
BANKS - Burglary,0,BANKS - Burglary,2009,WEST BENGAL
BANKS - Burglary,0,BANKS - Burglary,2010,AANDAMAN & NICOBAR ISLANDS
BANKS - Burglary,0,BANKS - Burglary,2010,ARUNACHAL PRADESH
BANKS - Burglary,0,BANKS - Burglary,2010,BIHAR
BANKS - Burglary,0,BANKS - Burglary,2010,D&N HAVELI
BANKS - Burglary,0,BANKS - Burglary,2010,DAMAN & DIU
BANKS - Burglary,0,BANKS - Burglary,2010,DELHI
BANKS - Burglary,0,BANKS - Burglary,2010,LAKSHADWEEP
BANKS - Burglary,0,BANKS - Burglary,2010,MANIPUR
BANKS - Burglary,0,BANKS - Burglary,2010,MEGHALAYA
BANKS - Burglary,0,BANKS - Burglary,2010,MIZORAM
BANKS - Burglary,0,BANKS - Burglary,2010,NAGALAND
BANKS - Burglary,0,BANKS - Burglary,2010,PUDUCHERRY
BANKS - Burglary,0,BANKS - Burglary,2010,SIKKIM
BANKS - Burglary,0,BANKS - Burglary,2010,UTTAR PRADESH
BANKS - Burglary,0,BANKS - Burglary,2010,UTTARAKHAND
BANKS - Burglary,0,BANKS - Burglary,2010,WEST BENGAL
BANKS - Dacoity,0,BANKS - Dacoity,2001,ANDAMAN & NICOBAR ISLANDS
BANKS - Dacoity,0,BANKS - Dacoity,2001,ANDHRA PRADESH
BANKS - Dacoity,0,BANKS - Dacoity,2001,ARUNACHAL PRADESH
BANKS - Dacoity,0,BANKS - Dacoity,2001,CHANDIGARH
BANKS - Dacoity,0,BANKS - Dacoity,2001,D&N HAVELI
BANKS - Dacoity,0,BANKS - Dacoity,2001,DAMAN & DIU
BANKS - Dacoity,0,BANKS - Dacoity,2001,DELHI
BANKS - Dacoity,0,BANKS - Dacoity,2001,GOA
BANKS - Dacoity,0,BANKS - Dacoity,2001,HARYANA
BANKS - Dacoity,0,BANKS - Dacoity,2001,HIMACHAL PRADESH
BANKS - Dacoity,0,BANKS - Dacoity,2001,KARNATAKA
BANKS - Dacoity,0,BANKS - Dacoity,2001,KERALA
BANKS - Dacoity,0,BANKS - Dacoity,2001,LAKSHADWEEP
BANKS - Dacoity,0,BANKS - Dacoity,2001,MANIPUR
BANKS - Dacoity,0,BANKS - Dacoity,2001,MEGHALAYA
BANKS - Dacoity,0,BANKS - Dacoity,2001,MIZORAM
BANKS - Dacoity,0,BANKS - Dacoity,2001,NAGALAND
BANKS - Dacoity,0,BANKS - Dacoity,2001,PUDUCHERRY
BANKS - Dacoity,0,BANKS - Dacoity,2001,PUNJAB
BANKS - Dacoity,0,BANKS - Dacoity,2001,RAJASTHAN
BANKS - Dacoity,0,BANKS - Dacoity,2001,SIKKIM
BANKS - Dacoity,0,BANKS - Dacoity,2001,TOTAL (UTs)
BANKS - Dacoity,0,BANKS - Dacoity,2001,TRIPURA
BANKS - Dacoity,0,BANKS - Dacoity,2001,UTTAR PRADESH
BANKS - Dacoity,0,BANKS - Dacoity,2002,ANDAMAN & NICOBAR ISLANDS
BANKS - Dacoity,0,BANKS - Dacoity,2002,CHANDIGARH
BANKS - Dacoity,0,BANKS - Dacoity,2002,D&N HAVELI
BANKS - Dacoity,0,BANKS - Dacoity,2002,DAMAN & DIU
BANKS - Dacoity,0,BANKS - Dacoity,2002,GOA
BANKS - Dacoity,0,BANKS - Dacoity,2002,GUJARAT
BANKS - Dacoity,0,BANKS - Dacoity,2002,HIMACHAL PRADESH
BANKS - Dacoity,0,BANKS - Dacoity,2002,KARNATAKA
BANKS - Dacoity,0,BANKS - Dacoity,2002,KERALA
BANKS - Dacoity,0,BANKS - Dacoity,2002,LAKSHADWEEP
BANKS - Dacoity,0,BANKS - Dacoity,2002,MADHYA PRADESH
BANKS - Dacoity,0,BANKS - Dacoity,2002,MANIPUR
BANKS - Dacoity,0,BANKS - Dacoity,2002,MEGHALAYA
BANKS - Dacoity,0,BANKS - Dacoity,2002,MIZORAM
