HIGHEST_CRIME_AREA,MURDER,KIDNAPPING,DOWRY DEATHS,DACOITY,BURGLARY,CRUELTY BY HUSBAND OR HIS RELATIVES,DISTRICT,RAPE,ROBBERY,THEFT,TOTAL_CRIMES,YEAR,TOTAL IPC CRIMES,STATE_UT
WEST BENGAL,194,236,53,13,14,1696,24 PARGANAS NORTH,231,18,1183,9201,2007,9201,WEST BENGAL
WEST BENGAL,204,119,29,10,21,630,24 PARGANAS NORTH,88,60,1842,6894,2002,6894,WEST BENGAL
WEST BENGAL,202,99,23,14,46,447,24 PARGANAS NORTH,53,56,1679,6167,2001,6167,WEST BENGAL
WEST BENGAL,177,236,55,32,60,810,24 PARGANAS NORTH,176,72,2196,8827,2004,8827,WEST BENGAL
WEST BENGAL,192,419,67,15,19,1946,24 PARGANAS NORTH,192,43,1452,11247,2008,11247,WEST BENGAL
WEST BENGAL,193,135,24,29,29,672,24 PARGANAS NORTH,92,73,1988,7351,2003,7351,WEST BENGAL
WEST BENGAL,229,487,54,21,22,2225,24 PARGANAS NORTH,166,88,1959,13046,2009,13046,WEST BENGAL
WEST BENGAL,154,232,74,15,37,1049,24 PARGANAS NORTH,174,29,1440,7776,2006,7776,WEST BENGAL
WEST BENGAL,244,584,71,15,28,2378,24 PARGANAS NORTH,173,83,2312,15151,2010,15151,WEST BENGAL
WEST BENGAL,168,269,71,18,78,886,24 PARGANAS NORTH,217,39,1564,7958,2005,7958,WEST BENGAL
WEST BENGAL,107,54,48,15,16,480,24 PARGANAS SOUTH,47,33,1143,5827,2001,5827,WEST BENGAL
WEST BENGAL,125,93,47,8,7,822,24 PARGANAS SOUTH,89,30,1034,6556,2003,6556,WEST BENGAL
WEST BENGAL,263,215,48,12,9,2879,24 PARGANAS SOUTH,258,39,2732,15299,2010,15299,WEST BENGAL
WEST BENGAL,140,68,53,19,13,555,24 PARGANAS SOUTH,68,26,1068,5965,2002,5965,WEST BENGAL
WEST BENGAL,138,156,68,14,165,1105,24 PARGANAS SOUTH,190,17,1019,7396,2006,7396,WEST BENGAL
WEST BENGAL,212,128,63,17,11,2542,24 PARGANAS SOUTH,280,52,1982,13624,2009,13624,WEST BENGAL
WEST BENGAL,131,119,64,17,237,915,24 PARGANAS SOUTH,136,21,1071,6724,2005,6724,WEST BENGAL
WEST BENGAL,130,106,43,13,12,966,24 PARGANAS SOUTH,122,33,1597,7123,2004,7123,WEST BENGAL
WEST BENGAL,239,285,53,16,11,2551,24 PARGANAS SOUTH,308,35,1773,13920,2008,13920,WEST BENGAL
WEST BENGAL,158,306,67,14,20,1398,24 PARGANAS SOUTH,205,39,1440,8856,2007,8856,WEST BENGAL
ANDHRA PRADESH,85,90,13,6,200,428,ADILABAD,67,20,351,5312,2009,5312,ANDHRA PRADESH
ANDHRA PRADESH,100,52,20,7,193,240,ADILABAD,37,40,226,4675,2002,4675,ANDHRA PRADESH
ANDHRA PRADESH,101,62,16,9,198,175,ADILABAD,50,41,199,4154,2001,4154,ANDHRA PRADESH
ANDHRA PRADESH,113,54,14,4,177,296,ADILABAD,50,9,256,5011,2004,5011,ANDHRA PRADESH
ANDHRA PRADESH,98,62,18,5,196,429,ADILABAD,48,15,302,4955,2010,4955,ANDHRA PRADESH
ANDHRA PRADESH,112,94,21,4,211,335,ADILABAD,46,9,481,5685,2007,5685,ANDHRA PRADESH
ANDHRA PRADESH,108,84,21,9,191,280,ADILABAD,53,20,329,5033,2005,5033,ANDHRA PRADESH
ANDHRA PRADESH,99,121,22,10,228,423,ADILABAD,64,17,390,6122,2006,6122,ANDHRA PRADESH
ANDHRA PRADESH,73,56,5,3,248,355,ADILABAD,50,20,427,5300,2008,5300,ANDHRA PRADESH
ANDHRA PRADESH,107,76,11,8,207,238,ADILABAD,35,24,284,4881,2003,4881,ANDHRA PRADESH
UTTAR PRADESH,126,125,55,22,203,183,AGRA,27,60,724,3438,2003,3438,UTTAR PRADESH
UTTAR PRADESH,153,274,63,50,432,327,AGRA,66,171,1181,6662,2001,6662,UTTAR PRADESH
UTTAR PRADESH,127,301,83,15,181,381,AGRA,40,82,1770,6704,2009,6704,UTTAR PRADESH
