AGE_GROUP,COUNT,CRIME,GENDER,STATE_UT,Total_Juvenile,YEAR
12-16 Years,0,Burglary,Boys,ANDAMAN & NICOBAR ISLANDS,0,2003
12-16 Years,0,Burglary,Boys,ANDAMAN & NICOBAR ISLANDS,0,2004
12-16 Years,0,Burglary,Boys,ANDAMAN & NICOBAR ISLANDS,0,2006
12-16 Years,0,Burglary,Boys,CHANDIGARH,0,2007
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2001
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2002
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2003
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2004
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2005
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2006
12-16 Years,0,Burglary,Boys,D&N HAVELI,0,2008
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2002
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2003
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2004
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2005
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2006
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2007
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2008
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2009
12-16 Years,0,Burglary,Boys,DAMAN & DIU,0,2010
12-16 Years,0,Burglary,Boys,JAMMU & KASHMIR,0,2001
12-16 Years,0,Burglary,Boys,JAMMU & KASHMIR,0,2005
12-16 Years,0,Burglary,Boys,JAMMU & KASHMIR,0,2007
12-16 Years,0,Burglary,Boys,JHARKHAND,0,2010
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2001
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2002
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2003
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2004
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2006
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2007
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2008
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2009
12-16 Years,0,Burglary,Boys,LAKSHADWEEP,0,2010
12-16 Years,0,Burglary,Boys,MANIPUR,0,2001
12-16 Years,0,Burglary,Boys,MANIPUR,0,2002
12-16 Years,0,Burglary,Boys,MANIPUR,0,2003
12-16 Years,0,Burglary,Boys,MANIPUR,0,2004
12-16 Years,0,Burglary,Boys,MANIPUR,0,2005
12-16 Years,0,Burglary,Boys,MANIPUR,0,2006
12-16 Years,0,Burglary,Boys,MANIPUR,0,2007
12-16 Years,0,Burglary,Boys,MANIPUR,0,2008
12-16 Years,0,Burglary,Boys,MANIPUR,0,2009
12-16 Years,0,Burglary,Boys,MANIPUR,0,2010
12-16 Years,0,Burglary,Boys,MEGHALAYA,0,2008
12-16 Years,0,Burglary,Boys,MIZORAM,0,2002
12-16 Years,0,Burglary,Boys,NAGALAND,0,2001
12-16 Years,0,Burglary,Boys,NAGALAND,0,2002
12-16 Years,0,Burglary,Boys,NAGALAND,0,2003
12-16 Years,0,Burglary,Boys,NAGALAND,0,2004
12-16 Years,0,Burglary,Boys,NAGALAND,0,2005
12-16 Years,0,Burglary,Boys,NAGALAND,0,2006
12-16 Years,0,Burglary,Boys,NAGALAND,0,2007
12-16 Years,0,Burglary,Boys,NAGALAND,0,2008
12-16 Years,0,Burglary,Boys,PUDUCHERRY,0,2001
12-16 Years,0,Burglary,Boys,SIKKIM,0,2001
