Total_Rape_Victims,VICTIM_COUNT,STATE_UT,RAPE_TYPE,CASES_REPORTED,AGE_GROUP,YEAR
0,0,ANDAMAN & NICOBAR ISLANDS,Total Rape Victims,3,Above-50-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Total Rape Victims,3,Between-10-14-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Total Rape Victims,3,Between-18-30-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Total Rape Victims,3,Between-30-50-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Total Rape Victims,3,Upto-10-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Incest Rape,1,Above-50-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Incest Rape,1,Between-10-14-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Incest Rape,1,Between-18-30-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Incest Rape,1,Between-30-50-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Incest Rape,1,Upto-10-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Other Rape,2,Above-50-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Other Rape,2,Between-10-14-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Other Rape,2,Between-18-30-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Other Rape,2,Between-30-50-Yrs,2001
0,0,ANDAMAN & NICOBAR ISLANDS,Victims of Other Rape,2,Upto-10-Yrs,2001
0,0,ANDHRA PRADESH,Victims of Incest Rape,4,Above-50-Yrs,2001
0,0,ANDHRA PRADESH,Victims of Incest Rape,4,Between-14-18-Yrs,2001
0,0,ANDHRA PRADESH,Victims of Incest Rape,4,Between-30-50-Yrs,2001
0,0,ANDHRA PRADESH,Victims of Incest Rape,4,Upto-10-Yrs,2001
0,0,ARUNACHAL PRADESH,Total Rape Victims,33,Above-50-Yrs,2001
0,0,ARUNACHAL PRADESH,Total Rape Victims,33,Between-10-14-Yrs,2001
0,0,ARUNACHAL PRADESH,Total Rape Victims,33,Upto-10-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Other Rape,33,Above-50-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Other Rape,33,Between-10-14-Yrs,2001
0,0,ARUNACHAL PRADESH,Victims of Other Rape,33,Upto-10-Yrs,2001
0,0,ASSAM,Victims of Incest Rape,8,Above-50-Yrs,2001
0,0,ASSAM,Victims of Incest Rape,8,Between-18-30-Yrs,2001
0,0,ASSAM,Victims of Incest Rape,8,Between-30-50-Yrs,2001
0,0,ASSAM,Victims of Incest Rape,8,Upto-10-Yrs,2001
0,0,BIHAR,Total Rape Victims,888,Above-50-Yrs,2001
0,0,BIHAR,Victims of Incest Rape,8,Above-50-Yrs,2001
0,0,BIHAR,Victims of Incest Rape,8,Between-30-50-Yrs,2001
0,0,BIHAR,Victims of Incest Rape,8,Upto-10-Yrs,2001
0,0,BIHAR,Victims of Other Rape,880,Above-50-Yrs,2001
0,0,CHANDIGARH,Total Rape Victims,18,Above-50-Yrs,2001
0,0,CHANDIGARH,Total Rape Victims,18,Upto-10-Yrs,2001
0,0,CHANDIGARH,Victims of Incest Rape,2,Above-50-Yrs,2001
0,0,CHANDIGARH,Victims of Incest Rape,2,Between-10-14-Yrs,2001
0,0,CHANDIGARH,Victims of Incest Rape,2,Between-14-18-Yrs,2001
0,0,CHANDIGARH,Victims of Incest Rape,2,Between-30-50-Yrs,2001
0,0,CHANDIGARH,Victims of Incest Rape,2,Upto-10-Yrs,2001
0,0,CHANDIGARH,Victims of Other Rape,16,Above-50-Yrs,2001
0,0,CHANDIGARH,Victims of Other Rape,16,Upto-10-Yrs,2001
0,0,CHHATTISGARH,Victims of Incest Rape,6,Above-50-Yrs,2001
0,0,CHHATTISGARH,Victims of Incest Rape,6,Upto-10-Yrs,2001
0,0,D&N HAVELI,Total Rape Victims,6,Above-50-Yrs,2001
0,0,D&N HAVELI,Total Rape Victims,6,Between-10-14-Yrs,2001
0,0,D&N HAVELI,Total Rape Victims,6,Between-30-50-Yrs,2001
0,0,D&N HAVELI,Total Rape Victims,6,Upto-10-Yrs,2001
0,0,D&N HAVELI,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,D&N HAVELI,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,D&N HAVELI,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,D&N HAVELI,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,D&N HAVELI,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,D&N HAVELI,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,D&N HAVELI,Victims of Other Rape,6,Above-50-Yrs,2001
0,0,D&N HAVELI,Victims of Other Rape,6,Between-10-14-Yrs,2001
0,0,D&N HAVELI,Victims of Other Rape,6,Between-30-50-Yrs,2001
0,0,D&N HAVELI,Victims of Other Rape,6,Upto-10-Yrs,2001
0,0,DAMAN & DIU,Total Rape Victims,0,Above-50-Yrs,2001
0,0,DAMAN & DIU,Total Rape Victims,0,Between-10-14-Yrs,2001
0,0,DAMAN & DIU,Total Rape Victims,0,Between-14-18-Yrs,2001
0,0,DAMAN & DIU,Total Rape Victims,0,Between-18-30-Yrs,2001
0,0,DAMAN & DIU,Total Rape Victims,0,Between-30-50-Yrs,2001
0,0,DAMAN & DIU,Total Rape Victims,0,Upto-10-Yrs,2001
0,0,DAMAN & DIU,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,DAMAN & DIU,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,DAMAN & DIU,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,DAMAN & DIU,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,DAMAN & DIU,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,DAMAN & DIU,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,DAMAN & DIU,Victims of Other Rape,0,Above-50-Yrs,2001
0,0,DAMAN & DIU,Victims of Other Rape,0,Between-10-14-Yrs,2001
0,0,DAMAN & DIU,Victims of Other Rape,0,Between-14-18-Yrs,2001
0,0,DAMAN & DIU,Victims of Other Rape,0,Between-18-30-Yrs,2001
0,0,DAMAN & DIU,Victims of Other Rape,0,Between-30-50-Yrs,2001
0,0,DAMAN & DIU,Victims of Other Rape,0,Upto-10-Yrs,2001
0,0,DELHI,Total Rape Victims,381,Above-50-Yrs,2001
0,0,DELHI,Victims of Incest Rape,9,Above-50-Yrs,2001
0,0,DELHI,Victims of Incest Rape,9,Between-30-50-Yrs,2001
0,0,DELHI,Victims of Other Rape,372,Above-50-Yrs,2001
0,0,GOA,Total Rape Victims,12,Above-50-Yrs,2001
0,0,GOA,Total Rape Victims,12,Between-18-30-Yrs,2001
0,0,GOA,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,GOA,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,GOA,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,GOA,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,GOA,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,GOA,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,GOA,Victims of Other Rape,12,Above-50-Yrs,2001
0,0,GOA,Victims of Other Rape,12,Between-18-30-Yrs,2001
0,0,GUJARAT,Total Rape Victims,286,Above-50-Yrs,2001
0,0,GUJARAT,Victims of Incest Rape,2,Above-50-Yrs,2001
0,0,GUJARAT,Victims of Incest Rape,2,Between-10-14-Yrs,2001
0,0,GUJARAT,Victims of Incest Rape,2,Between-18-30-Yrs,2001
0,0,GUJARAT,Victims of Incest Rape,2,Between-30-50-Yrs,2001
0,0,GUJARAT,Victims of Incest Rape,2,Upto-10-Yrs,2001
0,0,GUJARAT,Victims of Other Rape,284,Above-50-Yrs,2001
0,0,HARYANA,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,HARYANA,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,HARYANA,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,HARYANA,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,HARYANA,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,HARYANA,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,HIMACHAL PRADESH,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,HIMACHAL PRADESH,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,HIMACHAL PRADESH,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,HIMACHAL PRADESH,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,HIMACHAL PRADESH,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,HIMACHAL PRADESH,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,JAMMU & KASHMIR,Total Rape Victims,169,Above-50-Yrs,2001
0,0,JAMMU & KASHMIR,Total Rape Victims,169,Upto-10-Yrs,2001
0,0,JAMMU & KASHMIR,Victims of Incest Rape,2,Above-50-Yrs,2001
0,0,JAMMU & KASHMIR,Victims of Incest Rape,2,Between-10-14-Yrs,2001
0,0,JAMMU & KASHMIR,Victims of Incest Rape,2,Between-30-50-Yrs,2001
0,0,JAMMU & KASHMIR,Victims of Incest Rape,2,Upto-10-Yrs,2001
0,0,JAMMU & KASHMIR,Victims of Other Rape,167,Above-50-Yrs,2001
0,0,JAMMU & KASHMIR,Victims of Other Rape,167,Upto-10-Yrs,2001
0,0,JHARKHAND,Total Rape Victims,567,Above-50-Yrs,2001
0,0,JHARKHAND,Victims of Incest Rape,12,Above-50-Yrs,2001
0,0,JHARKHAND,Victims of Other Rape,555,Above-50-Yrs,2001
0,0,JHARKHAND,Victims of Other Rape,555,Between-10-14-Yrs,2001
0,0,JHARKHAND,Victims of Other Rape,555,Between-14-18-Yrs,2001
0,0,KARNATAKA,Total Rape Victims,293,Above-50-Yrs,2001
0,0,KARNATAKA,Victims of Incest Rape,5,Above-50-Yrs,2001
0,0,KARNATAKA,Victims of Incest Rape,5,Between-10-14-Yrs,2001
0,0,KARNATAKA,Victims of Incest Rape,5,Between-30-50-Yrs,2001
0,0,KARNATAKA,Victims of Other Rape,288,Above-50-Yrs,2001
0,0,KERALA,Victims of Incest Rape,4,Between-10-14-Yrs,2001
0,0,KERALA,Victims of Incest Rape,4,Between-30-50-Yrs,2001
0,0,KERALA,Victims of Other Rape,558,Above-50-Yrs,2001
0,0,LAKSHADWEEP,Total Rape Victims,0,Above-50-Yrs,2001
0,0,LAKSHADWEEP,Total Rape Victims,0,Between-10-14-Yrs,2001
